ano,mes,tributo,decendio,arrecadacao_bruta,retificacao,compensacao,restituicao,outros,arrecadacao_liquida
2022,6,IPI,1º decêndio,1231681637.43,-115522.5,118543586.31,-9903325.81,407422.2,1340613797.63
2022,12,IPI,1º decêndio,1151933796.45,-14466034.54,-91308742.78,-7451159.8,-146494.95,1038561364.38
2022,1,IPI,1º decêndio,1612567638.77,168105.57,160849724.69,-3811793.19,280762.76,1770054438.6
2022,2,IPI,1º decêndio,1477952654.3,5999885.94,-272442140.71,-50429825.37,5049789.2,1166130363.36
2022,9,IPI,1º decêndio,1141206440.24,-90184.06,-46252472.88,-596748.59,236549.02,1094503583.73
2022,7,IPI,1º decêndio,1339579434.93,-770730.52,-174816928.23,-2589654.04,591522.14,1161993644.28
2022,3,IPI,1º decêndio,1306455589.8,-261929.4,86934161.2,-1157572.96,570880.59,1392541129.23
2022,8,IPI,1º decêndio,1246984688.58,61822.66,-1013430545.0,-1560977.01,426987.1,232481976.33
2022,11,IPI,1º decêndio,1543122333.19,206627.99,-194252121.77,-1103349074.77,388393.62,246116158.26
2022,4,IPI,1º decêndio,1071895782.58,14506.95,73220097.66,-3526289.63,-20884362.84,1120719734.72
2022,7,IPI,2º decêndio,995216115.5,27353.54,-300903465.7,-68896809.72,2375939.04,627819132.66
2022,11,IPI,2º decêndio,636572517.24,161110.84,-66311105.61,5918090.43,-774378.72,575566234.18
2022,12,IPI,2º decêndio,1119838324.29,2291226.83,-149307855.17,-829643.47,621948.39,972614000.87
2022,4,IPI,2º decêndio,1122004938.39,-71388.65,-106745940.51,-9875748.95,25418991.36,1030730851.64
2022,5,IPI,2º decêndio,821535654.96,-253432.89,-279259549.56,-91878577.18,710976.79,450855072.12
2022,8,IPI,2º decêndio,767596745.55,-4108177.94,322045944.16,-5322440.58,491571.31,1080703642.5
2022,6,IPI,2º decêndio,634142993.32,20611.8,51185855.14,-3196229.15,339459.42,682492690.53
2022,3,IPI,2º decêndio,580397711.6,2358480.32,-149423246.86,-11166586.07,321531.32,422487890.31
2022,9,IPI,2º decêndio,1017812304.13,2806496.92,16858087.51,-32667616.95,551614.59,1005360886.2
2022,1,IPI,2º decêndio,1184908031.69,2304372.48,-966468183.95,-7090570.16,1030618.7,214684268.76
2022,2,IPI,2º decêndio,788084639.21,-2638061.24,-284906993.19,-2346275.94,-65848.16,498127460.68
2022,10,IPI,2º decêndio,1079078121.67,15880883.03,-403978403.88,-29857432.79,-8286123.42,652837044.61
2022,2,IPI,3º decêndio,3320417629.87,-599233.8,1185872086.49,-69999394.08,30298710.88,4465989799.36
2022,8,IPI,3º decêndio,3070021849.73,1184098.9,56759349.77,-67801656.0,29728935.25,3089892577.65
2022,4,IPI,3º decêndio,2593276447.16,282634.22,-423398014.52,-37888318.62,31950179.32,2164222927.56
2022,1,IPI,3º decêndio,3942071958.57,-317362.46,-66216550.93,-25839039.96,30252884.14,3879951889.36
2022,6,IPI,3º decêndio,3056235761.0,-158195.19,172541989.6,-107381309.74,27825642.49,3149063888.16
2022,9,IPI,3º decêndio,3339566070.26,-120911.26,63554013.56,-110056768.88,28598176.96,3321540580.64
2022,5,IPI,3º decêndio,2816172332.27,-83718.48,52534241.42,-129870199.87,29646011.2,2768398666.54
2022,11,IPI,3º decêndio,3253603347.78,-115364.23,262992131.67,-91991775.56,36412479.55,3460900819.21
2022,12,IPI,3º decêndio,3069492927.13,-33316.23,-137167154.31,-93604921.2,-13377007.59,2825310527.8
2022,10,IPI,3º decêndio,3235367999.82,3382104.25,-176994010.74,-55480755.18,23467035.42,3029742373.57
2022,3,IPI,3º decêndio,3648241207.85,-242951.47,620756179.98,-61818992.56,29592289.36,4236527733.16
2022,7,IPI,3º decêndio,2938014808.92,119785.11,-214096752.99,-131784112.23,28522750.07,2620776478.88
2020,1,IR,1º decêndio,5145827478.41,-2841624.65,476559459.1,-35211772.38,67931887.95,5652265428.43
2020,1,IR,2º decêndio,15940523886.54,-1043437.29,-415207432.81,-4712860.38,1140198515.65,16659758671.71
2020,1,IR,3º decêndio,39006914607.15,-28398712.93,-637200168.23,-958587514.06,456732029.01,37839460240.94
2020,2,IR,2º decêndio,11084116193.26,2865747.81,-301959369.64,-37476145.57,997568278.25,11745114704.11
2020,2,IR,3º decêndio,14845870341.86,2542091.66,25663063.97,-386510668.77,338476842.6,14826041671.32
2020,2,IR,1º decêndio,2496042000.01,4926757.65,1061681815.5,-155391789.49,76561008.74,3483819792.41
2020,3,IR,2º decêndio,12204676560.33,-18419290.33,-76414675.08,-19625305.49,884142768.79,12974360058.22
2020,3,IR,1º decêndio,1882853192.32,-7850738.85,-145431064.73,-41826199.19,106382518.99,1794127708.54
2020,3,IR,3º decêndio,15526647926.2,404121.52,-2607023170.96,-340220021.48,297040259.29,12876849114.57
2020,4,IR,2º decêndio,12646119488.85,-55997776.25,315568838.73,-17120801.54,574519114.95,13463088864.74
2020,4,IR,1º decêndio,2518469833.99,377928250.06,17166943.45,-5777292.96,86005100.31,2993792834.85
2020,4,IR,3º decêndio,19548654142.13,25448606.45,-2755575448.95,-364651513.41,337706870.6,16791582656.82
2020,5,IR,1º decêndio,2127744049.17,624392.63,1301880258.26,-16843883.82,72200933.08,3485605749.32
2020,5,IR,3º decêndio,12183539246.93,1685129.65,-265432986.6,-2683816541.57,281468079.91,9517442928.32
2020,5,IR,2º decêndio,10002727583.03,28373868.23,54374231.32,-107634897.86,559892219.51,10537733004.23
2020,6,IR,3º decêndio,18627403288.2,-1038920.09,-142493355.8,-6012408907.56,384839597.74,12856301702.49
2020,6,IR,2º decêndio,9409578224.2,1947784.51,-40421223.04,-60079413.83,495430101.74,9806455473.58
2020,6,IR,1º decêndio,5383460341.31,-2526837.24,-54999897.35,-21342649.56,157580721.62,5462171678.78
2020,7,IR,1º decêndio,2851996373.49,-143184.78,-857537312.63,-47462323.61,118918849.46,2065772401.93
2020,7,IR,2º decêndio,9631543135.26,84710.11,-76359856.91,-665558612.35,1052497752.31,9942207128.42
2020,7,IR,3º decêndio,22369956457.3,-1460090.81,-2995973258.94,-5843789949.35,357744466.47,13886477624.67
2020,8,IR,3º decêndio,16610701075.43,11178942.69,-4170259726.84,-6061960185.66,425709433.16,6815369538.78
2020,8,IR,2º decêndio,9577992210.57,-4700664.64,-853738021.69,-81116589.47,1161848527.1,9800285461.87
2020,8,IR,1º decêndio,2368578948.37,7474999.86,66053190.05,-9455505.52,94887428.07,2527539060.83
2020,9,IR,2º decêndio,10145933994.0,-194395.96,-519830095.69,-44111630.14,580844188.05,10162642060.26
2020,9,IR,1º decêndio,2432781523.04,-385718.29,-16000341.42,-14978186.99,119133864.15,2520551140.49
2020,9,IR,3º decêndio,17935629956.4,-1423614.11,-1594190706.84,-4446348665.78,975821837.16,12869488806.83
2020,10,IR,2º decêndio,11442386182.13,-3777930.61,-724904565.35,-30285039.04,1219012186.15,11902430833.28
2020,10,IR,3º decêndio,26659874784.68,-6623836.88,-2339438666.28,-985499705.7,469622001.6,23797934577.42
2020,10,IR,1º decêndio,3067706218.85,2352293.87,-640374312.0,-47332930.21,118109338.36,2500460608.87
2020,11,IR,3º decêndio,21396667765.78,6718342.27,-1477732129.44,-532686155.98,525448748.26,19918416570.89
2020,11,IR,2º decêndio,10382527482.03,1522957.16,-987588608.12,-55714054.11,1144507559.45,10485255336.41
