ano,mes,natureza_juridica_codigo,imposto_importacao,imposto_exportacao,ipi,irpf,irpj,irrf,iof,itr,cofins,pis_pasep,csll,cide_combustiveis,contribuicao_previdenciaria,cpsss,pagamento_unificado,outras_receitas_rfb,demais_receitas
2022,12,1163,,,,,20248.27,157006947.93,,,28647.77,5929.1,10822.76,,14516246.82,182457426.05,13265784.91,,3260724.02
2022,11,1163,,,,,15096.9,82228723.18,,,25273.64,5164.76,8553.63,,4993786.05,105090175.91,6556809.33,,73084.77
2022,6,1163,,,,,11155.0,72811997.22,,,21432.38,4643.54,7584.32,,829.85,95259779.46,5187618.53,500000.0,668909.8
2022,10,1163,,,,,10934.93,76794232.71,,,13644.02,2645.36,4636.01,,362331.06,99678043.77,5022324.19,308.46,58881.38
2022,4,1163,,,,,16943.45,71204522.17,,,32956.62,7140.44,11377.26,,524.55,95148417.67,4242087.67,,78319.6
2022,2,1163,,,,,11090.14,71347525.84,,,19807.88,4321.8,6896.26,,678.4,95382618.62,2820209.16,,244029.19
2022,9,1163,,,,,64578.77,76197103.32,,,53113.4,11197.39,18565.72,,938.04,98689026.28,5901051.14,,794.46
2022,3,1163,,,,,10877.42,70899296.02,,,18730.95,4058.22,6685.83,,507.5,95242733.54,4316272.83,,16690.4
2022,1,1210,,,,,847.5,848785.79,,,33393.69,1042121.75,6444.84,,584419.59,,356271.26,87109.92,56838.71
2022,6,1210,,,,,,1036801.6,,,48242.22,886972.56,10740.96,,579056.76,,389794.08,34221.46,65919.06
2022,12,1210,,,,,2008.07,1700808.44,,,71032.08,1019864.39,18201.72,,34087874.32,,425601.57,41589.42,71715.63
2022,4,1210,,,,,,904853.8,,207.56,44380.51,883848.65,9293.75,,616073.93,,401907.33,70121.8,52282.75
2022,10,1210,,,,,,1120643.99,,,65208.71,962918.97,10714.9,,917374.71,,383691.86,56710.61,61494.55
2022,8,1210,,,,,7693.64,1077585.64,,,48034.35,942549.53,15096.0,,686337.19,,408139.71,42286.64,88750.91
2022,2,1210,,,,,,848383.6,,,31642.68,543154.65,4741.73,,616052.29,,321452.3,42896.59,66695.94
2022,11,1210,,,,,2153.56,1216312.17,,,50194.93,951012.9,11007.35,,15756080.52,2472.34,422083.73,35778.53,58297.69
2022,9,1210,,,,,1635.32,1116888.82,,114.0,61446.52,947668.69,14449.73,,645005.61,,439241.47,66496.86,92200.41
2022,5,1210,,,,,,1178948.56,,,41205.21,781633.5,7216.94,,664068.24,,588302.43,90929.37,76432.1
2022,3,1210,,,,,,1005286.25,,500.0,29771.12,617038.59,4061.77,,588452.37,,443671.65,128817.64,188635.09
2022,7,1210,,,,,,1095636.68,,,47754.17,884858.64,13122.74,,527888.49,,399148.93,87246.11,49233.0
2022,1,1228,,,,,,1653010.21,,,337.09,160053.9,112.26,,,,215728.67,,
2022,8,1228,,,,,,1415538.29,,,208.28,153313.06,69.42,,6088.44,,498072.37,682.05,608.83
