codigo_nj,imposto_importacao,imposto_exportacao,ipi,irpf,irpj,irrf,iof,itr,cofins,pis_pasep,csll,cide_combustiveis,contribuicao_previdenciaria,cpsss,pagamento_unificado,outras_receitas_rfb,demais_receitas,data
1210,0.0,0.0,0.0,0.0,2153.56,1216312.17,0.0,0.0,50194.93,951012.9,11007.35,0.0,15756080.52,2472.34,422083.73,35778.53,58297.69,2022-11-01
1210,0.0,0.0,0.0,0.0,1635.32,1116888.82,0.0,114.0,61446.52,947668.69,14449.73,0.0,645005.61,0.0,439241.47,66496.86,92200.41,2022-09-01
1210,0.0,0.0,0.0,0.0,0.0,1178948.56,0.0,0.0,41205.21,781633.5,7216.94,0.0,664068.24,0.0,588302.43,90929.37,76432.1,2022-05-01
1210,0.0,0.0,0.0,0.0,0.0,1005286.25,0.0,500.0,29771.12,617038.59,4061.77,0.0,588452.37,0.0,443671.65,128817.64,188635.09,2022-03-01
1210,0.0,0.0,0.0,0.0,0.0,1095636.68,0.0,0.0,47754.17,884858.64,13122.74,0.0,527888.49,0.0,399148.93,87246.11,49233.0,2022-07-01
1228,0.0,0.0,0.0,0.0,0.0,1653010.21,0.0,0.0,337.09,160053.9,112.26,0.0,0.0,0.0,215728.67,0.0,0.0,2022-01-01
1228,0.0,0.0,0.0,0.0,0.0,1415538.29,0.0,0.0,208.28,153313.06,69.42,0.0,6088.44,0.0,498072.37,682.05,608.83,2022-08-01
1228,0.0,0.0,0.0,0.0,0.0,1134613.09,0.0,0.0,223.09,111988.38,74.36,0.0,0.0,0.0,238608.1,2750.0,0.0,2022-02-01
1236,0.0,0.0,0.0,0.0,40441.83,921.12,0.0,30.0,105361.63,505753870.72,9492.29,0.0,15669434.24,0.0,12194012.51,98890.18,564458.03,2022-09-01
1236,0.0,0.0,0.0,0.0,68045.67,0.0,0.0,11.25,107121.72,467189971.03,9644.91,0.0,82462788.59,0.0,12117590.04,103594.41,629128.58,2022-11-01
