secao_sigla,imposto_importacao,imposto_exportacao,ipi,irpf,irpj,irrf,iof,itr,cofins,pis_pasep,csll,cide_combustiveis,contribuicao_previdenciaria,cpsss,pagamento_unificado,outras_receitas_rfb,demais_receitas,data
G,843173745.5,296284.78,719756177.92,6028.56,984297876.79,946090256.66,9304357.2,166744.29,2367079035.13,528794018.76,491537725.85,57524467.47,101459053.29,1001.44,2825211266.73,130692626.48,34346098.7,2016-05-01
G,1007073730.45,407012.07,691178126.02,52398.5,962636687.29,876127980.55,8696021.1,372035.14,2479144840.16,535825486.34,487652900.68,34623219.44,101053921.91,377.55,2681727210.44,111652539.67,38901948.63,2016-02-01
G,914561501.9,398512.67,788145433.97,6606.57,928328714.78,764945918.81,6966927.48,5807149.21,2520238405.31,547025568.81,474063756.98,88494732.61,102748342.91,684.31,2928319333.75,105167330.35,33841352.88,2016-09-01
G,1004806701.02,647332.9,776404815.35,2091.72,930057927.99,884484571.35,8636570.94,252302.04,2303134755.81,494524053.36,452825080.39,51523219.24,92166903.22,519.77,2709617526.41,114002104.03,34450795.94,2016-03-01
G,961556728.06,253892.98,922037248.1,27660.56,1020561284.17,1135119981.74,12354990.89,566705.01,2647517269.47,571158926.96,539995270.61,105120539.01,106107701.75,15.46,3083844797.89,97194850.24,35807513.45,2016-12-01
G,952959807.04,349139.23,857847571.26,1975.25,2029637825.33,903757284.39,12416716.37,777821.56,2571218632.21,582443018.3,1160134071.85,92563491.45,117026708.38,77.86,2942281821.3,120043528.23,39217793.59,2016-10-01
H,41890250.0,0.0,9141772.62,2813.92,280387880.36,300285008.69,1928164.34,3842002.72,574080126.74,125261126.54,119683445.29,7125129.31,264593740.36,55152.47,464477278.62,12802282.17,10192384.28,2016-09-01
H,30330506.99,0.0,14918870.85,610.82,326652066.91,313475454.14,2412066.8,270753.07,621001663.75,137252024.2,146523255.72,5307094.78,241485899.74,72928.35,447042963.76,48738497.51,10148859.31,2016-11-01
H,32830272.62,1301.67,5873825.18,466.26,552916375.82,328039784.24,2864898.82,56310.87,619110753.05,134370951.85,255120528.01,6417318.3,335296227.37,53407.42,452352289.08,14505235.99,153478076.39,2016-07-01
H,41437238.24,0.0,7586290.44,3876.64,228452303.89,333867527.15,2167658.26,17374.56,612576027.57,130210348.1,105739153.96,7251280.68,260616378.58,50982.49,452971691.01,57337236.65,11860640.34,2016-06-01
H,37729310.51,9416.64,18615775.89,123.49,565586772.33,345517155.48,1471009.99,171397.9,587684247.89,124116193.26,255057852.64,5669623.0,268446639.84,22772.2,436815772.96,15764402.89,9085428.52,2016-04-01
H,43913566.46,0.0,8466339.99,0.0,284898202.58,336293225.42,1226905.9,278367.43,555198021.64,123010750.22,122486622.64,8560502.67,252553937.43,91542.7,412039611.92,42962616.4,6593088.29,2016-02-01
H,22495798.43,24001.36,9667534.89,0.0,258017657.62,326215640.87,4148830.78,101858.51,718549710.41,152724134.15,114462332.73,6666580.26,267118043.76,121974.29,457126502.57,31659391.68,9798465.66,2016-12-01
H,25315020.9,7678.41,5528303.6,354.45,254058243.05,354856237.95,1640049.32,81925.47,574263873.69,123840494.41,112102280.37,8774979.17,258085672.85,62412.94,439256442.18,17354972.0,83464906.73,2016-05-01
H,38663633.76,8.07,6949885.67,799.69,267515660.47,324586846.2,1845074.97,21492.42,551790357.19,122938602.47,123708878.49,5292128.87,267018565.24,54826.25,447960198.29,15858606.77,111303536.51,2016-08-01
H,56100797.71,0.0,10526693.3,307.59,833779726.21,612624997.83,2475484.88,49102.04,637510291.96,138905015.76,373174335.85,10950779.57,281456333.05,49129.56,483832063.93,15266710.29,7219470.88,2016-01-01
H,34380139.36,9894.17,9774885.38,2877.11,512802375.29,454367974.35,1705715.21,1966063.8,579234792.96,124380453.02,236447860.27,5857224.55,252131243.13,56874.03,471438257.29,15712764.9,8415033.92,2016-10-01
H,38302462.8,0.0,14175819.67,0.0,267189082.0,334163375.55,1511905.54,22850.06,525641366.71,113598750.93,131441751.2,4908407.5,249133808.29,53788.33,415485922.96,16675945.84,9663825.1,2016-03-01
I,613007.87,0.0,221694.34,2425.78,139569719.52,73619590.6,769367.67,15454.36,166484689.54,36578651.41,70414538.87,3583875.56,28073362.5,16.47,521581484.17,4149892.84,3030316.67,2016-01-01
I,396534.58,446.1,207202.78,55.4,101259868.85,76943867.49,229189.33,9492.38,141621784.18,30651403.91,55183787.7,2046650.59,25809866.94,0.0,425614770.18,2642895.1,3623515.23,2016-07-01
I,431323.18,0.0,214382.28,0.0,67373374.8,48262018.55,258674.84,37834.69,151755198.62,33429151.63,33651152.54,3229933.74,23516766.29,0.0,490546508.6,2522054.2,3884355.28,2016-02-01
I,544624.93,1529.63,149655.65,0.0,118976699.18,91074419.06,217179.68,10579.56,138182475.76,30840828.49,62939742.18,1989963.23,19949809.0,0.0,443782061.52,4123581.38,4969703.72,2016-04-01
I,745201.2,0.0,229856.16,145.18,45596642.43,50224378.83,337106.72,33741.56,154499252.12,33396661.15,23501483.76,1939068.99,17764453.03,0.0,470774922.72,3204141.71,3604357.44,2016-11-01
I,427380.0,2043.12,134840.86,0.0,42937912.26,60655751.41,415212.42,22717.52,147064915.42,33160472.72,22586474.98,2853753.6,18480171.44,0.0,469727222.49,3754279.24,3383372.77,2016-12-01
I,444497.61,0.0,153170.3,0.0,45469854.81,51193061.72,195833.66,11465.16,160656461.29,35621086.55,23416471.32,2502690.69,20039165.0,152.13,468793435.06,3014755.26,4286000.51,2016-08-01
I,637171.49,0.0,375706.82,395.53,42377035.79,51740382.52,368029.28,16640.79,149406442.0,33003413.03,21232923.03,1942579.85,20344153.16,20.82,442388516.66,3969987.9,3594371.51,2016-05-01
I,300689.94,0.0,140742.16,428.17,47755973.34,56863786.59,328667.64,9039.01,145213346.59,31568349.29,24486539.54,2727272.08,21523392.35,1745.12,447323137.92,2693683.74,3183286.9,2016-03-01
I,287803.02,0.0,208609.15,0.0,43267869.09,52943492.74,352942.1,8068.29,149903951.25,31681710.17,22060224.73,3020080.85,17366372.12,0.0,435109485.65,2274814.39,5960351.11,2016-06-01
I,539398.88,0.0,283452.25,0.0,59323659.95,64113982.72,253253.56,209890.75,157181805.8,34524115.77,27773889.49,3016176.02,20161176.95,518.47,443358357.06,2550111.48,3944281.64,2016-09-01
I,678475.37,0.0,130037.71,0.0,123393067.13,51620519.19,228768.72,35633.85,145879299.32,32228305.06,63288885.47,2035491.72,18065020.49,0.0,467388754.85,4971658.2,4106409.11,2016-10-01
J,24288935.32,0.0,30053581.78,1392.54,237472588.14,688021063.72,2729113.0,9165.69,751657027.38,167306058.37,114896086.64,26760185.91,178935087.13,0.0,311397174.75,15845775.92,3389246.48,2016-11-01
J,18858980.59,0.0,21765811.12,1259.91,246139418.26,703399608.45,3459697.28,69658.26,829557580.83,181410053.27,131322082.44,35842815.78,198745216.74,0.0,310535957.74,18556712.66,3122937.45,2016-09-01
J,23274038.79,0.0,26408460.83,1187.32,312167133.9,920129570.64,6504276.63,250.17,681423830.02,141850490.18,114820622.64,39612757.64,183836362.35,0.0,302774082.7,29161654.01,125517921.45,2016-03-01
J,16755192.66,0.0,19748537.31,1199.67,571009263.6,826679256.78,4800945.86,10.0,578879722.98,125616156.4,260736320.66,44128347.24,188796863.23,0.0,308913461.5,16411683.09,2650295.49,2016-04-01
J,21218007.68,0.0,21135143.23,1271.7,453914248.83,765005969.02,5173332.94,8571.26,743692478.29,183195107.05,199436471.58,27850778.76,190615413.08,10.07,322372363.61,16383332.99,6387176.13,2016-10-01
J,23856720.36,0.0,36207344.23,1165.39,579267547.69,1193950549.7,9286893.69,2519.24,784326820.54,157055172.48,292362062.82,40414244.75,237649165.54,21.98,351623056.31,32338208.22,5609782.33,2016-01-01
J,17657781.14,0.0,20425588.99,1210.94,219909379.86,736412590.05,1895570.35,675.37,665162455.15,108539100.75,106961898.62,32256205.03,239363580.88,34.47,305861689.6,32376473.91,9044507.1,2016-05-01
J,24933897.26,0.0,36131247.13,2902.75,203202048.05,849111952.87,3458347.48,5991.68,780373986.06,180940470.12,94990243.53,37508619.73,231440823.2,179.18,327069786.04,22177554.14,6497632.13,2016-12-01
J,20685294.34,0.0,22120705.09,1745.78,450374659.75,727662372.28,3039991.36,1499.1,712522274.52,162172070.2,217592191.91,28037359.19,226928520.09,0.0,319873228.16,21600975.11,3090498.15,2016-07-01
J,22325331.78,0.0,22847466.73,1246.92,248021110.55,783354924.49,3265275.41,9827.06,785602729.56,177270226.42,107285374.38,29676122.07,197019238.51,30.0,296093221.28,27386844.47,2888228.65,2016-08-01
J,19815990.56,0.0,21990653.32,1222.76,226395577.3,807490806.5,2241029.49,1202.54,649396403.96,134756495.5,113550502.41,41935746.21,209323413.21,0.0,306553027.1,40426574.57,4463143.92,2016-06-01
J,20280854.74,0.0,26801687.47,483.73,338116551.53,743072388.69,7279126.23,171.53,687507792.18,135663886.01,189603163.31,36000772.61,174082687.35,0.0,305297521.68,18451844.04,4537268.63,2016-02-01
K,3416444.72,9801.2,2208723.01,0.0,1758280524.77,5066172377.52,2710717749.68,20189550.83,1899037356.92,372429250.66,1178806450.75,15526878.7,8964444.57,37869314.76,656210605.39,427232866.71,40385461.59,2016-09-01
K,3210337.73,402.53,2091613.66,516.65,3645193365.93,5853672174.43,2537230726.99,212671.08,1811349136.27,315136835.7,2637420483.13,15842323.16,8648386.87,40417126.18,638274692.4,460223706.07,26214775.79,2016-03-01
K,3368282.52,0.0,3093072.51,0.0,3131180591.38,5252366120.99,2802611609.18,447259.79,2832482391.6,488025538.37,2222461435.27,22984411.4,56426164.53,43737495.57,615296654.96,474335111.08,19165605.28,2016-07-01
K,3629633.84,0.0,2402099.76,0.0,8131382365.98,6828351703.3,2954612058.6,479060.72,2362529610.47,366641590.97,5422598340.05,21982385.04,11688545.2,41847857.51,637331766.64,554463253.59,6588846.61,2016-01-01
K,5745153.03,0.0,2777805.5,0.0,2119460225.98,5350305819.03,2664028672.65,3250681.07,2160605599.54,380903376.93,1293708206.55,15491435.8,7722453.38,42539818.53,601529569.8,357344883.0,21905828.63,2016-10-01
K,4200433.34,0.0,3382012.26,123.47,1872316668.92,4927170045.81,2723163771.9,144654.22,2399750818.31,422907239.91,1416150697.51,24897062.41,9157667.33,37251806.41,571267594.3,400850682.29,15667728.0,2016-05-01
K,5702651.81,0.0,2805266.89,0.0,1332999131.68,15245303042.18,3074351402.6,2733632.37,1878087660.35,322312044.96,1053220515.73,16440469.88,7296875.36,149564518.24,637440170.27,457882561.21,207167294.71,2016-12-01
K,3798441.84,0.0,3141825.83,0.0,2975038535.46,5679155487.16,2821895665.69,363141.4,2413706004.02,380231890.3,1957979494.56,29901120.37,10013095.5,37202679.39,655972113.04,430724170.09,15959943.03,2016-04-01
